MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
5.280,523,192,652,2
5.300,521,72,650,2
5.320,521,132,649,2
5.340,521,128,648,2
5.360,519,204,647,2
5.380,521,136,646,2
5.400,522,72,646,2
5.420,521,68,645,2
5.440,520,12,643,2
5.460,519,12,643,2
5.480,521,200,642,2
5.500,521,72,642,2
5.520,519,192,640,2
5.540,521,192,640,2
5.560,519,76,639,2
5.580,519,72,638,2
5.600,516,76,639,2
5.620,513,200,638,2
5.640,512,68,637,2
5.660,510,128,636,2
5.680,508,76,635,2
5.700,508,12,635,2
5.720,507,200,634,2
5.740,506,68,633,2
5.760,508,64,632,2
5.780,507,204,631,2
5.800,504,64,632,2
5.820,504,200,630,2
5.840,505,200,630,2
5.860,506,4,629,2
5.880,506,64,628,2
5.900,503,12,627,2
5.920,504,140,627,2
5.940,502,12,627,3
5.960,501,4,625,3
5.980,499,196,625,3
6.000,499,128,624,3
6.020,500,0,624,3
6.040,499,204,623,3
6.060,497,12,623,3
6.080,496,8,622,3
6.100,496,68,621,3
6.120,493,132,621,3
6.140,495,128,620,3
6.160,493,204,619,3
6.180,492,12,619,3
6.200,491,140,619,3
6.220,489,68,617,3
6.240,487,196,617,3
6.260,487,192,616,3
6.280,485,12,615,3
6.300,485,204,615,3
6.320,483,72,614,3
6.340,484,8,614,3
6.360,482,4,613,3
6.380,483,64,612,3
6.400,486,204,611,3
6.420,483,76,611,3
6.440,486,12,611,3
6.460,484,200,610,3
6.480,484,68,609,3
6.500,484,196,609,3
6.520,483,192,608,3
6.540,484,64,608,3
6.560,486,76,607,3
6.580,485,200,606,3
6.600,485,8,606,3
6.620,484,132,605,3
6.640,485,196,605,3
6.660,484,128,604,3
6.680,483,192,604,3
6.700,484,140,603,3
6.720,485,12,603,3
6.740,486,4,601,3
6.760,484,4,601,3
6.780,486,192,600,3
6.800,484,0,600,3
6.820,486,140,599,3
6.840,486,76,599,3
6.860,485,72,598,3
6.880,486,8,598,3
6.900,487,72,598,3
6.920,486,4,597,3
6.940,484,192,596,3
6.960,483,0,596,3
6.980,487,64,596,3
7.000,487,140,595,3
7.020,487,8,594,3
7.040,484,132,593,3
7.060,485,0,592,3
7.080,487,128,592,3
7.100,487,140,591,3
7.120,487,72,590,3
7.140,486,136,590,3
7.160,485,200,590,3
7.180,486,128,588,3
7.200,490,0,588,3
7.220,487,204,587,3
7.240,487,204,587,3
7.260,487,200,586,3
7.280,484,200,586,3
7.300,487,4,585,3
7.320,486,64,584,3
7.340,487,192,584,3
7.360,487,192,584,3
7.380,487,204,583,3
7.400,486,140,583,3
7.420,489,72,582,3
7.440,488,132,581,3
7.460,488,132,581,3
7.480,487,192,580,3
7.500,488,192,580,3
7.520,491,192,580,3
7.540,492,12,579,3
7.560,491,204,579,3
7.580,491,140,579,3
7.600,489,200,578,3
7.620,491,196,577,3
7.640,492,196,577,3
7.660,491,132,577,3
7.680,492,64,576,3
7.700,492,12,575,3
7.720,491,8,574,3
7.740,494,200,574,3
7.760,488,8,574,3
7.780,491,196,573,3
7.800,490,0,572,3
7.820,493,192,572,3
7.840,491,204,571,3
7.860,493,76,571,3
7.880,490,196,569,3
7.900,492,0,568,3
7.920,489,192,568,3
7.940,492,8,566,3
7.960,492,8,566,3
7.980,493,200,566,3
8.000,492,136,566,3
8.020,491,8,566,3
8.040,491,196,565,3
8.060,494,128,564,3
8.080,493,76,563,3
8.100,492,204,563,3
8.120,494,72,562,3
8.140,490,136,562,3
8.160,493,4,561,3
8.180,494,68,561,3
8.200,492,0,560,3
8.220,491,0,560,3
8.240,492,64,560,3
8.260,494,12,559,3
8.280,495,204,559,3
8.300,495,200,558,3
8.320,495,132,557,3
8.340,492,64,556,3
8.360,493,0,556,3
8.380,494,128,556,3
8.400,493,140,555,3
8.420,493,72,554,3
8.440,492,136,554,3
8.460,492,4,553,3
8.480,493,192,552,3
8.500,493,0,552,3
8.520,495,128,552,3
8.540,494,204,551,3
8.560,494,204,551,3
8.580,494,200,550,3
8.600,493,8,550,3
8.620,494,72,550,3
8.640,492,132,549,3
8.660,493,64,548,3
8.680,495,64,548,3
8.700,494,12,547,3
8.720,494,8,546,3
8.740,494,72,546,3
8.760,494,68,545,3
8.780,493,196,545,3
8.800,494,128,544,3
8.820,494,128,544,3
8.840,494,140,543,3
8.860,492,76,543,3
8.880,494,136,542,3
8.900,493,8,542,3
8.920,494,72,542,3
8.940,495,196,541,3
8.960,495,128,540,3
8.980,494,128,540,3
9.000,494,128,540,3
9.020,494,140,539,3
9.040,494,76,539,3
9.060,494,136,538,3
9.080,495,132,537,3
9.100,494,132,537,3
9.120,495,4,537,3
9.140,493,128,536,3
9.160,495,64,536,3
9.180,495,140,535,3
9.200,494,204,535,3
9.220,496,200,534,3
9.240,495,136,534,3
9.260,496,132,533,3
9.280,495,132,533,3
9.300,494,128,532,3
9.320,496,128,532,3
9.340,494,204,531,3
9.360,496,136,530,3
9.380,495,200,530,3
9.400,495,72,530,3
9.420,496,196,529,3
9.440,496,196,529,3
9.460,495,128,528,3
9.480,494,0,528,3
9.500,496,192,528,3
9.520,496,12,527,3
9.540,495,204,527,3
9.560,495,136,526,3
9.580,496,8,526,3
9.600,495,132,525,3
9.620,496,0,524,3
9.640,496,192,524,3
9.660,496,192,524,3
9.680,495,12,523,3
9.700,495,12,523,3
9.720,496,204,523,3
9.740,496,140,523,3
9.760,496,8,522,3
9.780,495,4,521,3
9.800,496,196,521,3
9.820,495,192,520,3
9.840,496,0,520,3
9.860,497,204,519,3
9.880,495,12,519,3
9.900,496,12,519,3
9.920,496,8,518,3
9.940,496,200,518,3
9.960,497,196,517,3
9.980,496,4,517,3
10.000,497,0,516,3
10.020,495,0,516,3
10.040,495,204,515,3
10.060,496,12,515,3
10.080,496,204,515,3
10.100,496,8,514,3
10.120,497,72,514,3
10.140,496,196,513,3
10.160,496,4,513,3
10.180,496,0,512,3
10.200,497,0,512,3
10.220,496,64,512,3
10.240,496,12,511,3
10.260,496,76,511,3
10.280,497,204,511,3
10.300,496,200,510,3
10.320,496,8,510,3
10.340,496,4,509,3
10.360,497,4,509,3
10.380,496,64,508,3
10.400,496,0,508,3
10.420,497,0,508,3
10.440,496,12,507,3
10.460,496,76,507,3
10.480,496,8,506,3
10.500,496,8,506,3
10.520,497,4,505,3
10.540,497,68,505,3
10.560,496,0,504,3
10.580,496,0,504,3
10.600,497,0,504,3
10.620,497,64,504,3
10.640,497,12,503,3
10.660,496,12,503,3
10.680,497,72,502,3
10.700,496,8,502,3
10.720,496,8,502,3
10.740,497,8,502,3
10.760,496,0,500,3
10.780,497,64,500,3
10.800,497,64,500,3
10.820,497,12,499,3
10.840,496,12,499,3
10.860,496,76,499,3
10.880,497,72,498,3
10.900,498,68,497,3
10.920,496,4,497,3
10.940,497,68,497,3
10.960,497,0,496,3
10.980,496,0,496,3
11.000,497,64,496,3
11.020,498,12,495,3
11.040,497,76,495,3
11.060,497,76,495,3
11.080,497,76,495,3
11.100,497,8,494,3
11.120,497,8,494,3
11.140,497,68,493,3
11.160,496,132,493,3
11.180,497,0,492,3
11.200,497,64,492,3
11.220,497,64,492,3
11.240,496,12,491,3
11.260,497,76,491,3
11.280,498,140,491,3
11.300,497,72,490,3
11.320,497,68,489,3
11.340,498,68,489,3
11.360,498,68,489,3
11.380,498,64,488,3
11.400,498,64,488,3
11.420,497,0,488,3
11.440,498,76,487,3
11.460,497,76,487,3
11.480,499,72,486,3
11.500,497,8,486,3
11.520,497,72,486,3
11.540,499,136,486,3
11.560,498,68,485,3
11.580,497,68,485,3
11.600,499,128,484,3
11.620,498,128,484,3
11.640,498,128,484,3
11.660,498,140,483,3
11.680,498,76,483,3
11.700,498,140,483,3
11.720,499,72,482,3
11.740,497,200,482,3
11.760,498,68,481,3
11.780,498,68,481,3
11.800,497,196,481,3
11.820,498,128,480,3
11.840,498,64,480,3
11.860,498,192,480,3
11.880,499,140,479,3
11.900,499,140,479,3
11.920,497,136,478,3
11.940,497,136,478,3
11.960,499,136,478,3
11.980,498,200,478,3
12.000,499,72,478,3
12.020,498,132,477,3
12.040,499,128,476,3
12.060,497,64,476,3
12.080,499,128,476,3
12.100,499,128,476,3
12.120,499,140,475,3
12.140,498,204,475,3
12.160,499,204,475,3
12.180,500,72,474,3
12.200,498,72,474,3
12.220,497,196,473,3
