# [0]SEQN, [1]Timestamp, [2]CPU_User, [3]CPU_System, [4]CPU_Nice, [5]CPU_IOWait, [6]CPU_IRQ, [7]CPU_SoftIRQ, [8]RAM_Used, [9]RAM_Buffer, [10]RAM_Cached, [11]PID, [12]Disk_Used, [13]Disk_Read, [14]Disk_Write, [15]IO_lo_Bytes_Sent, [16]IO_lo_Bytes_Recv, [17]IO_lo_Packets_Sent, [18]IO_lo_Packets_Recv, [19]IO_eth0_Bytes_Sent, [20]IO_eth0_Bytes_Recv, [21]IO_eth0_Packets_Sent, [22]IO_eth0_Packets_Recv, [23]IO_wlan0_Bytes_Sent, [24]IO_wlan0_Bytes_Recv, [25]IO_wlan0_Packets_Sent, [26]IO_wlan0_Packets_Recv, [27]Core_Temp
670,201739161000949,1.10000002384,4.30000019073,0.0,0.0,0.0,0.0,109703168,25849856,36499456,69,2582159360,0,0,156,156,1,1,0,365166,0,1143,336446,0,247,0,56000
696,201739666692699,2.09999990463,5.19999980927,0.0,0.0,0.0,1.0,109899776,25849856,36560896,69,2582188032,0,0,156,156,1,1,0,385478,0,1155,355550,0,261,0,55000
722,201740173023707,2.09999990463,4.30000019073,0.0,0.0,0.0,0.0,109797376,25849856,36560896,69,2582216704,0,0,156,156,1,1,0,396500,0,1166,366882,0,269,0,55000
747,201740679512556,1.10000002384,3.29999995232,0.0,0.0,0.0,0.0,109862912,25849856,36618240,69,2582249472,0,0,156,156,1,1,0,482092,0,1226,454978,0,333,0,55000
772,201741186028992,1.10000002384,1.10000002384,0.0,0.0,0.0,0.0,110059520,25849856,36618240,69,2582278144,0,0,156,156,1,1,0,339288,0,1124,308950,0,227,0,55000
799,201741692838971,0.0,1.10000002384,0.0,0.0,0.0,0.0,110092288,25849856,36675584,69,2582306816,0,0,156,156,1,1,0,388342,0,1159,359772,0,264,0,56000
825,201742199506334,0.0,0.0,0.0,0.0,0.0,0.0,110223360,25849856,36675584,69,2582335488,0,0,156,156,1,1,0,410120,0,1176,379496,0,278,0,56000
850,201742706490078,1.10000002384,1.10000002384,0.0,0.0,0.0,0.0,109535232,25849856,36737024,69,2582368256,0,12288,156,156,1,1,0,497140,0,1238,470330,0,345,0,56000
875,201743212899797,1.10000002384,0.0,0.0,0.0,0.0,1.10000002384,109830144,25849856,36737024,69,2582396928,0,0,156,156,1,1,0,327104,0,1116,295106,0,217,0,56000
901,201743719324182,0.0,2.20000004768,0.0,0.0,0.0,1.10000002384,110481408,25849856,36794368,69,2582429696,0,0,156,156,1,1,0,399098,0,1165,369450,0,271,0,56000
